index,class,text,ethnic_keyword,name,class_luis
480,0,"Matured Christians never make a fool of themselves, they only do what God accredit&amp;give directives for.... https://t.co/9I5l3EFVER",christian|christians,Luis,0
701,0,"@VanessaKokomama Infact, But u know wat I did I went to my pastor &amp;said since it d yourba believe ,&amp; it primitive can't we jst follow the grace giving to us cause we are not concern about the primitive culture,so therefore a christian dead should be bought home irrespective of the place of death",christian|christians,Luis,0
531,0,@channelstv @evuleogu Is this what you call democracy?  Where armed Islamist roam the streets with guns and Christians are hacked down like animals. History will tell how @channelstv blew the trumpet in support of evil.,christian|christians,Luis,0
592,3,RT @v4mpgrI: bitches making fun of witchcraft and astrology while being CHRISTIANS will always be funny to me 😭 https://t.co/61aZns5yc4,christian|christians,Luis,3
781,1,"Baboons and monkeys are soaking blood in Nigeria. Over 2000 Christians brutally maimed and murdered. And we all are mute, even our bishops",christian|christians,Luis,1
735,0,Download Christian Krissy O – Bum Short.mp3 | Naija Music @ http://t.co/bzgf4exfqs,christian|christians,Luis,0
568,2,"@montithefirst @comandant5 @liamjajitoby Lmaoo So your years of reading the Bible told you to call me a slut abi? That’s just to say that y’all become Christians just to judge other people’s decisions. Small boy, heal",christian|christians,Luis,2
857,0,Christian Pulisic should drop our number 10! He doesn't deserve it.,christian|christians,Luis,0
245,1,"@AdaojoV @UN @realDonaldTrump @MBuhari As a Christian I pray that God have mercy on your soul. 

But as a Nigerian youth, na Ogun go kee u dia, u no go die beta bastard. 

That money they paid u will put in a difficult situation.",christian|christians,Luis,3
141,0,"The Special Assistant to President Muhammadu Buhari on social media, Lauretta Onochie has again accused the Christian Association of Nigeria (CAN) of being a ‘blood-sucking parasite’ in its... https://t.co/x7qfnYrT1j",christian|christians,Luis,0
2,1,@solaadio Yes they can. I've got discretion. I can't say the same for other Christians and they give 'stupid' reason y. It doesn't cut it,christian|christians,Luis,0
439,1,"@iamjohnsonemma The world CHRISTIAN population is not upto 3billion, liar!",christian|christians,Luis,1
882,0,"RT @BikerNiqabi: Imam Ahmad bin Hanbal had a very intelligent friend who was a Christian. The Imam asked him, you’re a very smart man, so w…",christian|christians,Luis,0
373,1,"@hill_jolly @IsaTochukwu Like in Plateau state or Benue or Taraba, abi? All of which have Christian Governors &amp; deputies.Well, perhaps you didn't go to school to know the States and Capitals rhyme sef. People like you (in the north or south) are disgusting. Don't know shit but argue on sentiments.",christian|christians,Luis,X
481,0,"@FemAdesina Mr. Adesina, have you forgotten that the Lord said if we call anyone fool, we're liable to hell? For a top Journalist, you don't choose your language carefully. You spoke against this act at Daystar Christian Center once, remember?",christian|christians,Luis,0
341,0,RT @rhemanigeria: The reverence that some Christians have for Satan is disgusting @ToksAdejuwon,christian|christians,Luis,2
871,0,"RT @Itz_Konani: I end this thread by saying, if you are a Christian and you side with the world against the Church you are doing the wrong…",christian|christians,Luis,0
782,0,"@elrufai he won't e even scale through APC primaries, plus the hatred he has created for himself from Christians. If the North are tired of Being a part of Nigeria, let them put El rufai forward as another buhari. Then "" the monkey and Baboon to be soak in blood"" quote 4rm BUHARI https://t.co/bKTqynKfmV",christian|christians,Luis,0
591,0,"RT @UjuAnya: If you noticed my silence, I’ve been in Twitter jail. Somebody called me a greedy bitch for asking Christians to send me money…",christian|christians,Luis,0
881,0,"RT @HananyaNaftali: Did you know?

Since 2009, over 60,00 Christians have been murdered or kidnapped in Nigeria. Around 20,000 Christian sc…",christian|christians,Luis,0
856,0,Classic #yemmidammie2016 @fiyinsteve @oadefisayo @ Daystar Christian Centre https://t.co/GHiIpimuXi,christian|christians,Luis,0
372,0,@Avibolanle7733 @_thefinesser I mean I'm Christian when I break a plate I don't shout Jesus I just say shit or goddammit but if I'm about to lose something life-changing like my job or my life perhaps I say Oh God or Jesus repeatedly because I believe in his ability to turn that situation around for good,christian|christians,Luis,0
874,0,RT @GuyForChrist: RT if you are not ashamed to be a Christian. #GodsNotDead http://t.co/mZx0fr3lIG,christian|christians,Luis,0
1268,0,"An anti-Islamist Libyan politician, Osama al-Mansouri, has been killed by gunmen in eastern Libyan city of Derna http://t.co/qKs5iIpOgJ""",eastern|easterner|easterners|biafra,Luis,0
113,1,@whytencastle @Ralphken77 @okosivals @maazi_ogbonnaya Bro is true naw...that guy is irritating. He kept mentioning that ppl 4rm SS don't want biafra n I asked d fool how sure he is n how many of this ppl has he met...d idiot can't answer...is he more intelligent than MNK that rejected 5 States offered to him back then b4 dey came..,eastern|easterner|easterners|biafra,Luis,1
697,3,"RT @ipobworldnews: BIAFRA: RESTRUCTURING SUMMIT, A GATHERING OF VULTURES, WOLVES AND VAMPIRES https://t.co/Yr1Gx33VSd https://t.co/vFR1q1Qr…",eastern|easterner|easterners|biafra,Luis,2
1262,0,"The sit-at-home order by the Indigenous People of Biafra (IPOB) on Monday registered total compliance in cities across Anambra State.

Markets, banks, motor parks and other commercial places, including schools and government offices, were under lock and key. https://t.co/s2My5c4Xuv",eastern|easterner|easterners|biafra,Luis,0
307,1,You put on nose mask while driving wit full AC.... you can only see dos morons like that in a country called Nigeria... thank God I'm from Biafra Ndi (DOT) iwotago Charlie!!!,eastern|easterner|easterners|biafra,Luis,1
669,0,"Biafra my home,pls if don't like it,been Biafra you must like it,my fire by force, see killing, raping,damagingly, I have been done,no going back https://t.co/OBfXrOP5o9",eastern|easterner|easterners|biafra,Luis,0
241,1,South Eastern governors and leaders might be the most useless things since the first slice of sliced bread.,eastern|easterner|easterners|biafra,Luis,1
566,1,RT @ifeycos: The Zoological Animal Kingdom called Nigeria# free Biafra from the British murderous entity called Nigeria https://t.co/64sZYQ…,eastern|easterner|easterners|biafra,Luis,0
671,0,sodebaba Second man arrested over rape of Indian child: Suspect detained in eastern state of Bihar in connecti... http://t.co/FrpqV8tcUU,eastern|easterner|easterners|biafra,Luis,0
780,0,"""@omojuwa: General Ihejirika: A Loony Biafra Fanatic Or Just Deadly Corrupt? – Dr. Peregrino Brimah... http://t.co/PzkT9dGqoK""",eastern|easterner|easterners|biafra,Luis,1
1260,2,"RT @Amaka_Ekwo: Terrorists and Alamajiris.

As wicked and lazy as their fathers.

#Nigeria 

#BiafraExit #FreeBiafra #Biafra https://t.co/S…",eastern|easterner|easterners|biafra,Luis,1
808,2,@nnamdikanu1 even if it calls for war to achieve biafra we will accept it and we will defeat the baboons and monkeys in the zoo,eastern|easterner|easterners|biafra,Luis,0
42,1,@NigeriaNewsdesk @NaijaNews As a NIGERIAN I will answer the questions with questions. What was england and the english before 927AD? What was America and Americans  before independence? These are very stupid questions for issues as serious as the biafra agitation. you didn't say where the debate would hold.,eastern|easterner|easterners|biafra,Luis,0
1278,0,"RT @Biafralandtwt_1: Biafra Security Outfit Set By IPOB Supreme Leader Mazi Nnamdi Kanu, Join @MaziNnamdiKanu Live Broadcast For The Detail…",eastern|easterner|easterners|biafra,Luis,0
40,1,But we will not sit back and watch our people killed for sport again by blood thirsty Nigerian Police and Military. Even if you are enabled by stupid Governors of South Eastern States. This is not 1967. We will document everything.,eastern|easterner|easterners|biafra,Luis,1
1287,0,"@amaka_ekwo his is a confused man for nw , do to d name BIAFRA",eastern|easterner|easterners|biafra,Luis,0
202,0,"@ChifeDr Incidentally, a similar pejorative is used by french #Cameroun in their almost apartheid like treatment of the minority english-speaking #SouthernCameroonians. Les #Biafra, les #Bamenda. Allez chez vous.. in addition to more violent tropes.. dogs, cockroaches, rats",eastern|easterner|easterners|biafra,Luis,0
524,1,"One idiot blocked me today😂😂😂😂
The fool from Eastern Nigeria where I have awesome and right thinking humans as friends couldn't hold a simple conversation of why people have a choice by voting Buhari in 2015.
The Ode thinks I eat off this page, oponu ndi ala osi",eastern|easterner|easterners|biafra,Luis,3
1285,0,"The first two photos are those who protested and asked the government to build roads and provide Tue basic social amenities for the Eastern Nigeria... 
NOTE::they never took up arms.

Those other ones were those who… https://t.co/zcQEvEgDM9",eastern|easterner|easterners|biafra,Luis,0
1253,0,My re-arrest’ll quicken actualisation of Biafra – Nnamdi Kanu https://t.co/5ss94j0Y0h https://t.co/w8gRY2gGOU,eastern|easterner|easterners|biafra,Luis,0
1263,3,"RT @Tasinnewstv: As D Python dancers saw D specially made in biafra R.G.P/R15 in the hands of D ESN, Pythons are now crawling back into the…",eastern|easterner|easterners|biafra,Luis,0
205,0,"RT @thebiafrapost: Biafra: [Ofe Nsala Day]: Between The ""Toothless Bull Dog"" And The Fuddled Governor, Who Wins The Day? https://t.co/oB6yZ…",eastern|easterner|easterners|biafra,Luis,1
842,2,"@niyorty So a tenant is misbehaving, you’ll now bring tenancy agreement and be referring to sections therein…
What if he doesn’t grant you audience?
It’s like you haven’t met some coconut head tenants, especially our Eastern brothers.
Property management in Lagos is stressful.",eastern|easterner|easterners|biafra,Luis,2
336,0,RT @IykeObedOnuorah: Though Da World May Act #DEAF#DUMB 2 Our Quest 4 FREEDOM#BIAFRA Quest 4Self Determination is#NOT-NEGOTIABLE#FREE BIAFR…,eastern|easterner|easterners|biafra,Luis,0
474,0,That’s how when I went to watch awon Lebron &amp; Co. destroy Nigeria at basketball during the 2012 olympics one Eastern European guy asked me why our national anthem was in English. I said “Because Nigerians Speak English” Uncle looked me in the eye and called me a liar.,eastern|easterner|easterners|biafra,Luis,0
526,3,@kodas4luv @iamdecentm @jeffphilips1 Buhari did not pay anybody shit.. He announced it like a bait. Biafra should are not fools Oga. Show me proof that one person was paid. We have been quiet too long enduring so it can’t be our fault now crying out. Go talk to Buhari to secure the country he promised you to. Not me,eastern|easterner|easterners|biafra,Luis,0
337,3,RT @maestropetals: Every smart person playing dumb should be called...has Gumi met those who are agitating for Biafra &amp; Oodua Republic?,eastern|easterner|easterners|biafra,Luis,0
285,0,Biafra: Fani-Kayode blasts Junaid Mohammed for calling IPOB members “bastards” https://t.co/T48UBnkVco,eastern|easterner|easterners|biafra,Luis,0
160,1,RT @RKennedyob: To Hell to Nigeria.A fraudulent contraction. The kingdom of baboons and monkey. A parasite to the #Biafra Nation.#FreeNnamd…,eastern|easterner|easterners|biafra,Luis,1
567,0,"It is very certain that we the citizens of Biafra must take our destinies into our hands since we ar left with no choice. The Nigerian army and police have killed us enough so we say enough is enough we ar not animals even animals have right to life, how much more humans beings.",eastern|easterner|easterners|biafra,Luis,0
698,1,RT @biafra_tv: BIAFRA: NIGRIA FINALLY GONE TO THE VULTURES UNDER HITLER BUHARI https://t.co/u3c4UkCX3I https://t.co/F7dzjndqhs,eastern|easterner|easterners|biafra,Luis,1
287,1,"@Egonduokorie Lol i laugh in Biafra, you really don’t know you are a bastard non of your family members is willing to tell you that but I’m telling you for free you be OMO ALE.",eastern|easterner|easterners|biafra,Luis,1
1271,3,"Abegi! Mtcheeewww ""@TouchPH: #NewsHeadline: Biafra’s self-determination suit against Nigeria continues Sept 22""",eastern|easterner|easterners|biafra,Luis,0
1245,0,Court Denies Kanu Of Radio Biafra Bail | Sahara Reporters https://t.co/46TAZlfrGN via @AddThis,eastern|easterner|easterners|biafra,Luis,0
1258,0,RT @savndaniel: Those agitating for Biafra never made mention of war. They have constantly made it known that they want a referendum. The i…,eastern|easterner|easterners|biafra,Luis,0
683,2,"@MobilePunch Though you have shown concern and even came personally, but we will trust that you mean it, if no body is killed again in the country by the fulani vultures of death.",fulani|fulanis,Luis,2
1060,0,"RT @MaziNnamdiKanu: In 2014, I asked this question during one my visits to Malaysia. 

If a Fulani terrorist, local or foreign, armed with…",fulani|fulanis,Luis,3
453,1,"@mkadamu3 @IbehEngr @channelstv Did you say Fulani are attacked on daily basis? Can you honestly say where such attacks took place? Of the Fulanis the governor said were killed at Kajuru, why hasn't he shown the world their graves? Bloody liars.",fulani|fulanis,Luis,1
226,1,"@dat_ph_boi @accessbank_help @gtbank @FirstBankngr @FBN_help they are the most useless bank with the worst banking service, they can’t even stand with some micrfinance bank not even ibolo or balogun Fulani micro finance bank awon oloshi arindoti masafani",fulani|fulanis,Luis,0
1042,0,"RT @greypen_: WORK IN PROGRESS

fifth day on this

 #Fulani #Bitcoin https://t.co/hJnypxbtYC",fulani|fulanis,Luis,0
1036,0,"RT @MaziNnamdiKanu: The Helicopter caught in a video yesterday supplying arms to Fulani terrorists, is an Agusta Westland 109  with registr…",fulani|fulanis,Luis,0
794,2,@Smirnoff_baby_ Leave the deaf Fulani baboon,fulani|fulanis,Luis,2
223,1,"@Wotazo_com You are very correct........ Imagine useless, brainless and jobless people carrying placards on trivia issue that had no substantial evidence but all the idiots kept mute when it comes to boko harram, fulani heads men, kidnapping, and host of others. We celebrates lies in NIGERIA",fulani|fulanis,Luis,3
180,0,"This is to tell you how historical cows and fulanis are, cows contributed immensely to the development of Nigeria, and that is why they are pictured on our currency, unlike pigs and dogs, that are never recognised. #Iamnorth https://t.co/3orRlgN2G0",fulani|fulanis,Luis,3
19,0,"@VENT_NG @Tasinnewstv The problem here is,once you have a contrary opinion you are immediately label Fulani slave,you are called stupid,fool,idiot,empty brain and so https://t.co/VIk5E8Zkvx can't take on everybody.",fulani|fulanis,Luis,0
745,1,"13. Most states cannot pay their salaries... So, is your Governor or senator or LG chairman a Fulani? What did they do with the little they have? How hard are they working to increase IGR? Yet, The lazy bums want you to blame the Fulani and @MBuhari alone?",fulani|fulanis,Luis,1
1040,0,"RT @Joe__Bassey: Here is Oyigbo in Rivers State, where people were massacred last night by Fulani Herdmen.
#NIGERIAPREVAILS #itisnotfinish…",fulani|fulanis,Luis,2
1052,0,"@DaudaJibrin13 @Demurleigh Fine, dey sud suit themselves. like I said this BUSINESS. Nothing more. If I sell my land or inherited family land to u. It becomes urs. Nothing concern SG. If they pock-nose too much. Go to court. U will get justice. Nigerians are ready to conduct legimate business with fulani's",fulani|fulanis,Luis,0
1034,0,"RT @TobbyFancy: 20th of October 2020, NIGERIA army left bokoharam, left kidnappers, left Fulani herds men to kill unarmed peaceful proteste…",fulani|fulanis,Luis,2
296,1,"@Laurestar U're an idiot; bitch-ass mama! Go for my mother, if u can. Sycophant; ready 2 die for affidavit-certified Fulani bigot so u can get 100k likes on Twitter &amp; u dared call him 'okechukwu'. Moron!!!",fulani|fulanis,Luis,X
1032,0,"RT @RosemailP: I don’t do this on a norm , but this is so heavy on me, Fulani burnt down my pineapple farm , I put all my all on this proje…",fulani|fulanis,Luis,2
500,1,"@godwin_udosen @MaziNnamdiKanu @UKinNigeria @Number10press @nassnigeria @USinNigeria @UNHumanRights @StateDept @HumanRightsCtte @JohnCampbellcfr @CFR_org @EUinNigeria You're a very bigggggggggggggg 🐐
Idiot like you I thought you're learned... Russian fool...that's why you people don't have a working brain... you're home is on fire and you're saying south south Fulani will teach you a lesson Anuofia!!",fulani|fulanis,Luis,3
1011,0,"RT @toluogunlesi: Dambazau says hobbies include listening to ""Soft English Music and Traditional Hausa Music"" 😎

None of that pangolo jukpa…",hausa|hausas,Luis,0
1021,0,RT @Dj_Abba: How many retweets can we get for Hausa rap to get noticed? Shoutout to @mreazi https://t.co/3Q7mnMfLPP,hausa|hausas,Luis,0
792,0,"@nullish2 @NnaemekaEze10 You do not have to be a tyrant to assert yourself. When Buhari made statements in BBC Hausa about dipping dog and baboon in blood before the 2011 General Elections, GEJ should have arrested and had him prosecuted for sedition. 
There were several examples.",hausa|hausas,Luis,0
682,0,Hausa Man Caught Selling Vulture As Roasted Chicken For His Suya Business. https://t.co/dP8edppUiL,hausa|hausas,Luis,2
320,0,"@KemiOlunloyo @ArcGazal @jidesanwoolu Make he ask ""the source"" news paper na, Hausa people always acting dumb, illiteracy is at its peak with them",hausa|hausas,Luis,2
544,0,"""Pls, help me tell our Hausa brothers, it is not Toothpaste wedded Animal-calling"", it is Tuface wedded Annie macaulay!",hausa|hausas,Luis,3
547,2,"@Destiny92805899 @Neche201 Supporting this carnage openly says more of an animal most ipob sympathizer.. 

Ewu Hausa is much sensible than you . 😂",hausa|hausas,Luis,3
1010,0,"RT @HausaLiterature: Meet Coronavirus, a skilled Hausa traditional boxer.

His real Name is Abdullahi Ali A.K.A Autan Dan Ali. He was named…",hausa|hausas,Luis,0
422,2,Hausa guys ar lik talking pigs...u av to see thm in warri n if u do u won't even lik to say u r 1 of thm@DICED or wat ever ur name is,hausa|hausas,Luis,2
822,1,Learn how to construct a good sentence before @ing any hausa man. Coconut head https://t.co/zm4bsTXvRX,hausa|hausas,Luis,1
1005,0,RT @Alaye_100: Buhari's media aide was a Hausa Reporter..Looks like he learnt English on the job.Anyways this is him calling for a civil wa…,hausa|hausas,Luis,2
1030,0,"RT @Biisi96: Okay, apparently Aisha was trolling her husband. 

The song and caption was in Hausa, Mandem Dey provoke 😭😭🤣.",hausa|hausas,Luis,0
821,1,@lifeofLegendino @UMaikanwa @AishaYesufu @lifeofLegendino I think you get coconut head she speak in Hausa and he replied in hausa that's all. Shut up,hausa|hausas,Luis,1
450,1,"Liar- _-RT""@MeeemaTy: Two :) Hausa &amp; Mwaghavul RT @Adeola_Cule: How Many Language(s) Do you Speak fluently?""",hausa|hausas,Luis,1
387,0,@iAm_Vinee How big is the shame for someone that offered hausa in JSS and scored 81? But still doesn't know shit 😬,hausa|hausas,Luis,1
85,1,RT @Isaiahuba: https://t.co/nsUfUJRSOV The Hausa head boy in Imo state Gov House av spoken. #Biafrans one WORD4this IDIOT!!! #NnamdiKanu @N…,hausa|hausas,Luis,1
175,0,"@yomexng @SamuelOmogor Tell your brothers to go and be selling pig and dogs in the open in Kano. Or they can open beer parlor in Zamfara. Or let them go and be destroying rice in Kebbi. 

Why didn’t they tell the Hausas who sell beans and pepper to leave?",hausa|hausas,Luis,3
680,0,Hausa Man Caught With Vulture In Onne-PH To Use as Roasted Chicken For Sale - Gistmania http://t.co/Tjqi3v4j via @naijapals,hausa|hausas,Luis,2
87,2,"@Gbadege1Olawale @bunmifasae @janjalous @AishaYesufu @ProfOsinbajo As ur papa na bastard abi???  Fool omo iran kiran, ode oponu nenemu so for ur mind now Osibanjo is representing Omo Odua well??  Fool son of an idiot u eru hausa slave....",hausa|hausas,Luis,3
36,0,@MemeCentralNG This kind of stupid post  must be from terrorists and herdsmen supporters of Buharist who are bent on misleading Nigerians! It's null and void and of no effect period.,herdsmen|herdsman,Luis,0
1230,0,RT @war_desk: JUST IN:Adamawa Court sentence 29 yr Adamawa farmer SundayJackson to dead by hanging for killing herdsman in self defense. ht…,herdsmen|herdsman,Luis,0
523,1,"@DailyPostNGR You are a fool !!!!
Go deal with the bandit and herdsmen...
Ode",herdsmen|herdsman,Luis,1
412,0,"This is so so cruel. How many more innocent Nigerians are we gonna lose before this shits comes to a halt. Are SARS and Herdsmen both in a killing contest?The country now is the ""valley and shadow of death""@PoliceNG @segalink . https://t.co/0d883rLUz4",herdsmen|herdsman,Luis,2
776,0,"One chance, we voted an herdsman! Not a detribalized leader. We voted a senile, nepotistic fanatic. https://t.co/WDOBPQ9udW",herdsmen|herdsman,Luis,3
666,1,@damola_ade77 @toluogunlesi @MBuhari May the Corrupt Police extort you. May Boko Haram set your family ablaze. May Herdsmen rape your wife and mother. You diseased buffoon. What Yeye development??,herdsmen|herdsman,Luis,2
37,1,"@realFFK You open whale mouth forgot that Herdsmen and bokoharam started their damage and did worst under you your clueless boss GEJ. Both you, GEJ and BUHARI are same. You idiots celebrate Nation's calamities when its a good tool for your stupid campaigns.",herdsmen|herdsman,Luis,2
473,1,"@ovieali U lied! Were u in Goosu, Sev-av, Anyibe, Gazor Villages in Logo LGA of Benue State? How did u know that d attacks were stopped? U are a liar like Devaan Mom. As I speak to u now, ppl are not going to their farms if u try it u wil die by herdsmen.",herdsmen|herdsman,Luis,2
1239,2,"Nigeria: Gradually turning into a Rwanda if left unchecked, the ""Killer Herdsmen"" issue.",herdsmen|herdsman,Luis,2
282,1,"@whitenigerian I'm not in support of the killing, but how many of the kidnapping and killing by the herdsmen did you report. You're all corrupt bastards. Speak sense into your president head @whitenigerian",herdsmen|herdsman,Luis,2
435,0,"3. #Herdsmen must hv right of way else blood will flow but as a pig farmer, I dare not allow my pigs stray.
#FearedCows
#Benuekillings",herdsmen|herdsman,Luis,0
